day_of_year ISWR ISWR2 OSWR NR
174.006 22.576 23.084 19.066 3.553
174.006 23.854 24.566 20.125 3.506
174.008 22.576 23.190 19.066 -2.239
174.009 20.872 21.919 18.112 -27.368
174.009 23.747 25.625 20.866 -30.195
174.010 26.942 29.120 23.620 -20.689
174.010 25.877 28.167 22.879 -10.185
174.010 22.895 24.672 20.125 -7.843
174.012 20.872 22.237 18.218 -9.302
174.013 19.914 23.719 20.443 -35.339
174.013 36.846 39.073 32.729 -38.026
174.014 45.258 46.592 39.296 -42.760
