stid,variable_pattern,lo,hi,month
JAR1,P,855.20,933.90,
JAR1,VW1,-11.94,29.53,
JAR1,VW2,-11.56,30.56,
JAR1,RH1,48.54,115.80,
JAR1,RH2,47.15,115.01,
JAR1,TA1,-45.80,8.63,1.00
JAR1,TA1,-48.70,8.49,2.00
JAR1,TA1,-47.26,8.04,3.00
JAR1,TA1,-39.61,10.38,4.00
JAR1,TA1,-31.65,12.77,5.00
JAR1,TA1,-18.39,13.44,6.00
JAR1,TA1,-15.90,14.25,7.00
JAR1,TA1,-18.86,14.26,8.00
JAR1,TA1,-27.73,13.18,9.00
JAR1,TA1,-34.47,11.15,10.00
JAR1,TA1,-40.46,10.68,11.00
JAR1,TA1,-44.13,9.10,12.00
JAR1,TA2,-45.63,8.69,1.00
JAR1,TA2,-48.53,8.74,2.00
JAR1,TA2,-46.88,8.10,3.00
JAR1,TA2,-39.32,10.40,4.00
JAR1,TA2,-31.71,13.11,5.00
JAR1,TA2,-17.54,13.71,6.00
JAR1,TA2,-15.75,14.40,7.00
JAR1,TA2,-18.74,14.26,8.00
JAR1,TA2,-27.52,13.37,9.00
JAR1,TA2,-34.35,11.16,10.00
JAR1,TA2,-40.36,10.64,11.00
JAR1,TA2,-44.02,9.15,12.00
JAR1,TA3,-46.05,8.58,1.00
JAR1,TA3,-47.54,8.16,2.00
JAR1,TA3,-46.05,8.97,3.00
JAR1,TA3,-39.70,11.01,4.00
JAR1,TA3,-31.55,13.24,5.00
JAR1,TA3,-18.27,13.74,6.00
JAR1,TA3,-15.93,14.44,7.00
JAR1,TA3,-18.80,14.60,8.00
JAR1,TA3,-27.76,13.42,9.00
JAR1,TA3,-34.49,11.09,10.00
JAR1,TA3,-40.34,10.57,11.00
JAR1,TA3,-43.23,9.28,12.00
JAR1,TA4,-46.02,8.71,1.00
JAR1,TA4,-47.59,8.21,2.00
JAR1,TA4,-46.23,7.38,3.00
JAR1,TA4,-39.46,10.45,4.00
JAR1,TA4,-31.08,13.18,5.00
JAR1,TA4,-17.83,14.50,6.00
JAR1,TA4,-15.99,14.77,7.00
JAR1,TA4,-18.18,14.45,8.00
JAR1,TA4,-27.74,13.62,9.00
JAR1,TA4,-34.17,11.27,10.00
JAR1,TA4,-40.11,10.61,11.00
JAR1,TA4,-43.77,9.32,12.00
