stid,variable_pattern,lo,hi,month
SMS3,VW1,-11.58,31.23,
SMS3,RH1,37.67,110.20,
SMS3,TA1,-41.08,9.41,1.00
SMS3,TA1,-45.74,12.76,2.00
SMS3,TA1,-41.74,12.33,3.00
SMS3,TA1,-36.09,11.96,4.00
SMS3,TA1,-23.71,14.00,5.00
SMS3,TA1,-13.66,15.29,6.00
SMS3,TA1,-9.87,15.25,7.00
SMS3,TA1,-14.70,16.13,8.00
SMS3,TA1,-24.37,16.05,9.00
SMS3,TA1,-28.26,13.69,10.00
SMS3,TA1,-35.64,13.78,11.00
SMS3,TA1,-40.29,12.41,12.00
SMS3,TA2,-41.00,9.41,1.00
SMS3,TA2,-45.84,12.76,2.00
SMS3,TA2,-41.69,12.33,3.00
SMS3,TA2,-36.37,11.95,4.00
SMS3,TA2,-24.04,13.95,5.00
SMS3,TA2,-13.85,15.16,6.00
SMS3,TA2,-9.91,15.03,7.00
SMS3,TA2,-14.73,15.98,8.00
SMS3,TA2,-24.64,15.65,9.00
SMS3,TA2,-28.37,13.63,10.00
SMS3,TA2,-35.64,13.43,11.00
SMS3,TA2,-40.29,12.11,12.00
