stid,variable_pattern,lo,hi,month
EastGRIP,P,674.80,753.00,
EastGRIP,VW1,-11.80,23.06,
EastGRIP,VW2,-11.72,24.03,
EastGRIP,RH1,25.94,99.40,
EastGRIP,RH2,24.83,98.33,
EastGRIP,TA1,-69.94,-11.14,1.00
EastGRIP,TA1,-70.99,-10.47,2.00
EastGRIP,TA1,-69.57,-9.20,3.00
EastGRIP,TA1,-61.93,-0.53,4.00
EastGRIP,TA1,-49.89,2.25,5.00
EastGRIP,TA1,-34.88,7.08,6.00
EastGRIP,TA1,-31.61,8.68,7.00
EastGRIP,TA1,-41.84,6.62,8.00
EastGRIP,TA1,-52.52,0.60,9.00
EastGRIP,TA1,-59.13,-4.41,10.00
EastGRIP,TA1,-64.71,-6.72,11.00
EastGRIP,TA1,-70.03,-11.72,12.00
EastGRIP,TA2,-69.57,-11.09,1.00
EastGRIP,TA2,-70.65,-10.07,2.00
EastGRIP,TA2,-69.17,-9.22,3.00
EastGRIP,TA2,-61.34,-1.10,4.00
EastGRIP,TA2,-49.23,2.89,5.00
EastGRIP,TA2,-34.28,7.23,6.00
EastGRIP,TA2,-32.06,8.89,7.00
EastGRIP,TA2,-41.28,6.55,8.00
EastGRIP,TA2,-52.24,5.68,9.00
EastGRIP,TA2,-58.90,-3.75,10.00
EastGRIP,TA2,-64.23,-6.67,11.00
EastGRIP,TA2,-69.21,-10.55,12.00
EastGRIP,TA3,-48.46,-10.40,1.00
EastGRIP,TA3,-48.44,-8.89,2.00
EastGRIP,TA3,-48.43,-8.36,3.00
EastGRIP,TA3,-48.41,-0.45,4.00
EastGRIP,TA3,-47.06,3.09,5.00
EastGRIP,TA3,-34.49,7.63,6.00
EastGRIP,TA3,-31.21,9.50,7.00
EastGRIP,TA3,-42.12,6.90,8.00
EastGRIP,TA3,-48.17,0.98,9.00
EastGRIP,TA3,-48.39,-4.44,10.00
EastGRIP,TA3,-48.45,-6.27,11.00
EastGRIP,TA3,-48.47,-11.17,12.00
EastGRIP,TA4,-48.47,-10.34,1.00
EastGRIP,TA4,-48.45,-7.84,2.00
EastGRIP,TA4,-48.46,-8.55,3.00
EastGRIP,TA4,-48.40,-0.77,4.00
EastGRIP,TA4,-47.60,3.33,5.00
EastGRIP,TA4,-33.81,7.84,6.00
EastGRIP,TA4,-31.50,9.89,7.00
EastGRIP,TA4,-41.25,7.12,8.00
EastGRIP,TA4,-47.99,5.70,9.00
EastGRIP,TA4,-48.41,-3.57,10.00
EastGRIP,TA4,-48.48,-6.28,11.00
EastGRIP,TA4,-48.47,-8.89,12.00
