stid,variable_pattern,lo,hi,month
Petermann Glacier,P,942.45,1010.00,
Petermann Glacier,VW1,-11.86,25.43,
Petermann Glacier,VW2,-11.87,25.72,
Petermann Glacier,RH1,32.75,112.00,
Petermann Glacier,RH2,34.86,112.00,
Petermann Glacier,TA1,-48.55,-6.01,1.00
Petermann Glacier,TA1,-51.22,-2.32,2.00
Petermann Glacier,TA1,-53.00,2.41,3.00
Petermann Glacier,TA1,-46.78,-0.51,4.00
Petermann Glacier,TA1,-32.07,12.71,5.00
Petermann Glacier,TA1,-15.38,16.45,6.00
Petermann Glacier,TA1,-12.57,16.73,7.00
Petermann Glacier,TA1,-17.04,14.59,8.00
Petermann Glacier,TA1,-33.51,11.18,9.00
Petermann Glacier,TA1,-38.88,10.65,10.00
Petermann Glacier,TA1,-46.31,-0.95,11.00
Petermann Glacier,TA1,-47.91,-1.34,12.00
Petermann Glacier,TA2,-48.18,-5.78,1.00
Petermann Glacier,TA2,-50.67,-1.79,2.00
Petermann Glacier,TA2,-52.53,2.28,3.00
Petermann Glacier,TA2,-46.18,-0.29,4.00
Petermann Glacier,TA2,-31.90,12.03,5.00
Petermann Glacier,TA2,-15.53,16.39,6.00
Petermann Glacier,TA2,-13.13,16.68,7.00
Petermann Glacier,TA2,-17.11,15.00,8.00
Petermann Glacier,TA2,-33.16,11.26,9.00
Petermann Glacier,TA2,-38.37,11.05,10.00
Petermann Glacier,TA2,-45.64,-0.74,11.00
Petermann Glacier,TA2,-47.33,-1.20,12.00
Petermann Glacier,TA3,-47.80,-6.10,1.00
Petermann Glacier,TA3,-47.92,2.45,2.00
Petermann Glacier,TA3,-47.93,5.84,3.00
Petermann Glacier,TA3,-46.44,-0.36,4.00
Petermann Glacier,TA3,-31.80,10.82,5.00
Petermann Glacier,TA3,-37.62,14.17,6.00
Petermann Glacier,TA3,-45.33,15.61,7.00
Petermann Glacier,TA3,-44.02,14.57,8.00
Petermann Glacier,TA3,-31.41,11.11,9.00
Petermann Glacier,TA3,-38.99,10.55,10.00
Petermann Glacier,TA3,-46.30,-1.09,11.00
Petermann Glacier,TA3,-47.35,-1.43,12.00
Petermann Glacier,TA4,-47.58,-5.31,1.00
Petermann Glacier,TA4,-47.91,2.13,2.00
Petermann Glacier,TA4,-47.88,5.96,3.00
Petermann Glacier,TA4,-45.95,-0.10,4.00
Petermann Glacier,TA4,-39.08,11.07,5.00
Petermann Glacier,TA4,-39.38,14.59,6.00
Petermann Glacier,TA4,-46.24,16.25,7.00
Petermann Glacier,TA4,-42.38,15.00,8.00
Petermann Glacier,TA4,-30.57,11.27,9.00
Petermann Glacier,TA4,-38.46,11.04,10.00
Petermann Glacier,TA4,-45.58,-0.77,11.00
Petermann Glacier,TA4,-47.19,-1.22,12.00
