stid,variable_pattern,lo,hi,month
South Dome,P,631.30,736.24,
South Dome,VW1,-12.00,30.95,
South Dome,VW2,-12.00,32.29,
South Dome,RH1,21.65,124.20,
South Dome,RH2,15.62,115.90,
South Dome,TA1,-57.51,-2.88,1.00
South Dome,TA1,-58.48,-1.36,2.00
South Dome,TA1,-55.27,0.95,3.00
South Dome,TA1,-73.21,4.37,4.00
South Dome,TA1,-73.91,7.41,5.00
South Dome,TA1,-30.99,10.62,6.00
South Dome,TA1,-28.70,11.02,7.00
South Dome,TA1,-31.13,10.56,8.00
South Dome,TA1,-40.73,6.94,9.00
South Dome,TA1,-45.74,5.05,10.00
South Dome,TA1,-51.84,2.98,11.00
South Dome,TA1,-54.97,-0.97,12.00
South Dome,TA2,-56.55,-2.57,1.00
South Dome,TA2,-58.04,-1.36,2.00
South Dome,TA2,-54.14,0.72,3.00
South Dome,TA2,-47.18,4.42,4.00
South Dome,TA2,-42.12,7.35,5.00
South Dome,TA2,-30.44,10.32,6.00
South Dome,TA2,-28.05,10.02,7.00
South Dome,TA2,-30.65,10.42,8.00
South Dome,TA2,-39.72,6.99,9.00
South Dome,TA2,-45.38,5.33,10.00
South Dome,TA2,-50.97,3.09,11.00
South Dome,TA2,-54.51,-1.10,12.00
South Dome,TA3,-48.36,-2.37,1.00
South Dome,TA3,-48.30,-0.82,2.00
South Dome,TA3,-48.11,1.55,3.00
South Dome,TA3,-46.98,5.39,4.00
South Dome,TA3,-42.10,9.04,5.00
South Dome,TA3,-30.38,12.61,6.00
South Dome,TA3,-28.14,13.39,7.00
South Dome,TA3,-30.66,12.69,8.00
South Dome,TA3,-39.83,7.40,9.00
South Dome,TA3,-44.92,5.62,10.00
South Dome,TA3,-47.99,3.31,11.00
South Dome,TA3,-48.29,-0.43,12.00
South Dome,TA4,-48.31,-1.92,1.00
South Dome,TA4,-48.32,-1.20,2.00
South Dome,TA4,-48.19,1.14,3.00
South Dome,TA4,-46.60,5.34,4.00
South Dome,TA4,-41.83,8.53,5.00
South Dome,TA4,-30.15,11.93,6.00
South Dome,TA4,-27.31,12.00,7.00
South Dome,TA4,-29.98,12.46,8.00
South Dome,TA4,-39.12,7.56,9.00
South Dome,TA4,-44.73,5.88,10.00
South Dome,TA4,-47.79,3.42,11.00
South Dome,TA4,-48.26,-0.59,12.00
