stid,variable_pattern,lo,hi,month
CP2,P,748.90,825.90,
CP2,VW1,-12.00,27.75,
CP2,VW2,-11.81,27.83,
CP2,RH1,33.99,114.21,
CP2,RH2,33.06,115.48,
CP2,TA1,-55.91,3.41,1.00
CP2,TA1,-61.38,2.71,2.00
CP2,TA1,-55.77,1.30,3.00
CP2,TA1,-46.14,5.82,4.00
CP2,TA1,-42.94,9.90,5.00
CP2,TA1,-29.55,10.11,6.00
CP2,TA1,-27.31,10.56,7.00
CP2,TA1,-29.37,10.93,8.00
CP2,TA1,-39.23,8.72,9.00
CP2,TA1,-47.71,5.62,10.00
CP2,TA1,-55.43,5.44,11.00
CP2,TA1,-55.10,1.71,12.00
CP2,TA2,-55.45,3.45,1.00
CP2,TA2,-61.38,2.71,2.00
CP2,TA2,-55.55,1.30,3.00
CP2,TA2,-45.93,5.86,4.00
CP2,TA2,-42.92,9.90,5.00
CP2,TA2,-29.16,10.14,6.00
CP2,TA2,-27.30,10.57,7.00
CP2,TA2,-29.36,10.98,8.00
CP2,TA2,-39.19,8.66,9.00
CP2,TA2,-47.71,5.62,10.00
CP2,TA2,-55.27,5.53,11.00
CP2,TA2,-55.10,1.71,12.00
CP2,TA3,-48.36,3.69,1.00
CP2,TA3,-48.46,3.53,2.00
CP2,TA3,-48.42,1.61,3.00
CP2,TA3,-44.89,6.05,4.00
CP2,TA3,-42.43,10.27,5.00
CP2,TA3,-28.35,10.82,6.00
CP2,TA3,-26.77,11.62,7.00
CP2,TA3,-28.67,11.51,8.00
CP2,TA3,-38.86,8.95,9.00
CP2,TA3,-46.75,5.74,10.00
CP2,TA3,-48.28,5.78,11.00
CP2,TA3,-48.28,1.92,12.00
CP2,TA4,-48.23,-1.40,1.00
CP2,TA4,-48.46,1.31,2.00
CP2,TA4,-48.38,-1.52,3.00
CP2,TA4,-44.55,5.31,4.00
CP2,TA4,-37.12,10.58,5.00
CP2,TA4,-25.31,10.18,6.00
CP2,TA4,-27.21,11.47,7.00
CP2,TA4,-29.40,11.27,8.00
CP2,TA4,-38.68,9.09,9.00
CP2,TA4,-46.68,6.09,10.00
CP2,TA4,-46.76,-0.07,11.00
CP2,TA4,-45.21,2.04,12.00
