stid,variable_pattern,lo,hi,month
Tunu-N,P,736.20,815.68,
Tunu-N,VW1,-11.55,24.48,
Tunu-N,VW2,-11.38,25.39,
Tunu-N,RH1,30.74,107.43,
Tunu-N,RH2,30.61,107.00,
Tunu-N,TA1,-64.71,-9.59,1.00
Tunu-N,TA1,-69.41,-9.52,2.00
Tunu-N,TA1,-63.18,-10.31,3.00
Tunu-N,TA1,-57.58,-1.68,4.00
Tunu-N,TA1,-44.13,4.09,5.00
Tunu-N,TA1,-31.48,8.89,6.00
Tunu-N,TA1,-27.32,9.72,7.00
Tunu-N,TA1,-37.20,7.89,8.00
Tunu-N,TA1,-47.84,1.90,9.00
Tunu-N,TA1,-57.50,-1.56,10.00
Tunu-N,TA1,-60.67,-6.55,11.00
Tunu-N,TA1,-63.52,-7.16,12.00
Tunu-N,TA2,-64.72,-9.49,1.00
Tunu-N,TA2,-69.44,-9.27,2.00
Tunu-N,TA2,-63.12,-10.15,3.00
Tunu-N,TA2,-57.49,-1.55,4.00
Tunu-N,TA2,-43.79,4.26,5.00
Tunu-N,TA2,-31.32,9.01,6.00
Tunu-N,TA2,-27.03,9.92,7.00
Tunu-N,TA2,-36.79,8.08,8.00
Tunu-N,TA2,-47.63,1.91,9.00
Tunu-N,TA2,-57.21,-1.51,10.00
Tunu-N,TA2,-60.56,-6.50,11.00
Tunu-N,TA2,-63.40,-6.89,12.00
Tunu-N,TA3,-48.47,-6.97,1.00
Tunu-N,TA3,-48.48,-7.38,2.00
Tunu-N,TA3,-48.47,-9.38,3.00
Tunu-N,TA3,-48.40,-0.36,4.00
Tunu-N,TA3,-42.52,4.88,5.00
Tunu-N,TA3,-30.00,9.86,6.00
Tunu-N,TA3,-25.65,10.63,7.00
Tunu-N,TA3,-35.62,8.60,8.00
Tunu-N,TA3,-46.77,2.47,9.00
Tunu-N,TA3,-48.42,0.03,10.00
Tunu-N,TA3,-48.46,-4.77,11.00
Tunu-N,TA3,-48.46,-6.41,12.00
Tunu-N,TA4,-48.47,-6.47,1.00
Tunu-N,TA4,-48.47,-7.29,2.00
Tunu-N,TA4,-48.48,-9.27,3.00
Tunu-N,TA4,-48.36,-0.70,4.00
Tunu-N,TA4,-43.10,5.18,5.00
Tunu-N,TA4,-29.79,10.04,6.00
Tunu-N,TA4,-26.47,10.71,7.00
Tunu-N,TA4,-36.39,8.66,8.00
Tunu-N,TA4,-46.44,2.49,9.00
Tunu-N,TA4,-48.37,-0.39,10.00
Tunu-N,TA4,-48.45,-4.97,11.00
Tunu-N,TA4,-48.47,-5.70,12.00
