stid,variable_pattern,lo,hi,month
SMS5,VW1,-11.32,32.54,
SMS5,RH1,35.82,109.81,
SMS5,TA1,-31.95,7.32,1.00
SMS5,TA1,-39.64,5.09,2.00
SMS5,TA1,-37.96,8.26,3.00
SMS5,TA1,-38.29,10.67,4.00
SMS5,TA1,-21.61,14.09,9.00
SMS5,TA1,-29.23,12.67,10.00
SMS5,TA1,-32.25,8.83,11.00
SMS5,TA1,-35.14,9.02,12.00
SMS5,TA2,-32.20,7.50,1.00
SMS5,TA2,-39.48,4.93,2.00
SMS5,TA2,-37.90,8.29,3.00
SMS5,TA2,-37.99,10.65,4.00
SMS5,TA2,-21.82,14.11,9.00
SMS5,TA2,-29.34,12.52,10.00
SMS5,TA2,-32.32,8.85,11.00
SMS5,TA2,-35.07,9.07,12.00
