stid,variable_pattern,lo,hi,month
SMS2,VW1,-11.54,29.35,
SMS2,RH1,38.28,109.90,
SMS2,TA1,-43.96,8.80,1.00
SMS2,TA1,-40.23,13.45,2.00
SMS2,TA1,-39.27,11.47,3.00
SMS2,TA1,-35.38,10.96,4.00
SMS2,TA1,-28.73,13.58,5.00
SMS2,TA1,-11.68,14.30,6.00
SMS2,TA1,-10.54,15.19,7.00
SMS2,TA1,-15.27,15.84,8.00
SMS2,TA1,-26.45,13.49,9.00
SMS2,TA1,-29.65,13.25,10.00
SMS2,TA1,-33.64,13.24,11.00
SMS2,TA1,-42.40,5.80,12.00
SMS2,TA2,-44.25,8.62,1.00
SMS2,TA2,-40.46,13.29,2.00
SMS2,TA2,-39.68,11.24,3.00
SMS2,TA2,-35.71,11.75,4.00
SMS2,TA2,-29.32,13.53,5.00
SMS2,TA2,-11.66,14.37,6.00
SMS2,TA2,-10.71,15.19,7.00
SMS2,TA2,-15.70,15.51,8.00
SMS2,TA2,-27.02,13.14,9.00
SMS2,TA2,-30.18,13.04,10.00
SMS2,TA2,-34.05,12.99,11.00
SMS2,TA2,-42.67,5.54,12.00
