stid,variable_pattern,lo,hi,month
SMS1,VW1,-11.48,30.85,
SMS1,RH1,40.30,110.80,
SMS1,TA1,-44.92,8.21,1.00
SMS1,TA1,-40.80,12.19,2.00
SMS1,TA1,-40.66,11.54,3.00
SMS1,TA1,-38.67,10.36,4.00
SMS1,TA1,-31.24,12.81,5.00
SMS1,TA1,-12.74,13.98,6.00
SMS1,TA1,-11.50,13.16,7.00
SMS1,TA1,-16.84,14.67,8.00
SMS1,TA1,-24.64,14.63,9.00
SMS1,TA1,-30.60,12.61,10.00
SMS1,TA1,-35.15,12.45,11.00
SMS1,TA1,-43.72,7.09,12.00
SMS1,TA2,-45.24,7.97,1.00
SMS1,TA2,-41.14,11.62,2.00
SMS1,TA2,-41.04,11.72,3.00
SMS1,TA2,-38.30,10.57,4.00
SMS1,TA2,-32.26,13.03,5.00
SMS1,TA2,-12.62,14.27,6.00
SMS1,TA2,-11.76,13.56,7.00
SMS1,TA2,-17.20,14.42,8.00
SMS1,TA2,-25.17,14.40,9.00
SMS1,TA2,-31.08,12.55,10.00
SMS1,TA2,-35.33,12.17,11.00
SMS1,TA2,-43.96,6.88,12.00
