stid,variable_pattern,lo,hi,month
Saddle,P,691.50,774.20,
Saddle,VW1,-12.00,31.50,
Saddle,VW2,-12.00,30.93,
Saddle,RH1,33.14,116.57,
Saddle,RH2,30.77,115.92,
Saddle,TA1,-60.28,-1.73,1.00
Saddle,TA1,-62.34,-0.71,2.00
Saddle,TA1,-57.33,1.30,3.00
Saddle,TA1,-50.45,4.37,4.00
Saddle,TA1,-42.52,9.32,5.00
Saddle,TA1,-32.37,10.85,6.00
Saddle,TA1,-29.39,10.66,7.00
Saddle,TA1,-32.88,10.20,8.00
Saddle,TA1,-42.83,6.50,9.00
Saddle,TA1,-48.41,4.43,10.00
Saddle,TA1,-54.12,2.81,11.00
Saddle,TA1,-60.19,0.46,12.00
Saddle,TA2,-58.30,-2.11,1.00
Saddle,TA2,-62.43,-0.56,2.00
Saddle,TA2,-57.13,1.52,3.00
Saddle,TA2,-49.80,5.13,4.00
Saddle,TA2,-42.11,8.49,5.00
Saddle,TA2,-31.58,12.03,6.00
Saddle,TA2,-29.28,17.68,7.00
Saddle,TA2,-34.55,10.67,8.00
Saddle,TA2,-41.61,7.18,9.00
Saddle,TA2,-49.09,4.87,10.00
Saddle,TA2,-56.48,2.73,11.00
Saddle,TA2,-60.49,0.44,12.00
Saddle,TA3,-48.40,-1.84,1.00
Saddle,TA3,-48.40,-0.43,2.00
Saddle,TA3,-48.41,1.69,3.00
Saddle,TA3,-47.99,5.53,4.00
Saddle,TA3,-42.38,8.72,5.00
Saddle,TA3,-31.79,12.54,6.00
Saddle,TA3,-29.01,12.41,7.00
Saddle,TA3,-32.85,11.07,8.00
Saddle,TA3,-42.02,7.30,9.00
Saddle,TA3,-47.63,4.94,10.00
Saddle,TA3,-48.33,2.90,11.00
Saddle,TA3,-48.40,0.75,12.00
Saddle,TA4,-48.41,-1.72,1.00
Saddle,TA4,-48.41,-0.18,2.00
Saddle,TA4,-48.40,1.85,3.00
Saddle,TA4,-47.71,5.48,4.00
Saddle,TA4,-41.51,8.56,5.00
Saddle,TA4,-31.12,12.35,6.00
Saddle,TA4,-27.91,12.18,7.00
Saddle,TA4,-31.83,10.97,8.00
Saddle,TA4,-45.75,7.34,9.00
Saddle,TA4,-47.76,5.04,10.00
Saddle,TA4,-48.32,3.17,11.00
Saddle,TA4,-48.38,0.81,12.00
