stid,variable_pattern,lo,hi,month
KULU,P,702.64,927.50,
KULU,VW1,-12.00,35.98,
KULU,VW2,-12.00,35.97,
KULU,RH1,20.98,112.00,
KULU,RH2,39.75,112.00,
KULU,TA1,-34.48,7.48,1.00
KULU,TA1,-36.43,7.13,2.00
KULU,TA1,-32.60,-0.24,3.00
KULU,TA1,,,4.00
KULU,TA1,,,5.00
KULU,TA1,-16.49,16.88,6.00
KULU,TA1,-11.23,16.86,7.00
KULU,TA1,-11.05,15.93,8.00
KULU,TA1,-20.39,11.92,9.00
KULU,TA1,-24.74,9.56,10.00
KULU,TA1,-32.16,9.36,11.00
KULU,TA1,-34.67,8.36,12.00
KULU,TA2,-34.48,7.48,1.00
KULU,TA2,-36.43,7.13,2.00
KULU,TA2,-33.42,3.03,3.00
KULU,TA2,,,4.00
KULU,TA2,,,5.00
KULU,TA2,-16.60,16.92,6.00
KULU,TA2,-10.96,16.72,7.00
KULU,TA2,-10.75,16.42,8.00
KULU,TA2,-20.35,12.15,9.00
KULU,TA2,-24.74,9.56,10.00
KULU,TA2,-32.16,9.36,11.00
KULU,TA2,-34.67,8.36,12.00
KULU,TA3,,,1.00
KULU,TA3,,,2.00
KULU,TA3,,,3.00
KULU,TA3,,,4.00
KULU,TA3,,,5.00
KULU,TA3,-18.06,13.98,6.00
KULU,TA3,-13.61,14.86,7.00
KULU,TA3,-13.52,15.55,8.00
KULU,TA3,-42.39,12.52,9.00
KULU,TA3,-46.78,14.62,10.00
KULU,TA3,,,11.00
KULU,TA3,,,12.00
KULU,TA4,,,1.00
KULU,TA4,,,2.00
KULU,TA4,,,3.00
KULU,TA4,,,4.00
KULU,TA4,,,5.00
KULU,TA4,-29.65,13.66,6.00
KULU,TA4,-13.62,15.29,7.00
KULU,TA4,-13.76,16.29,8.00
KULU,TA4,-20.48,12.51,9.00
KULU,TA4,-48.20,-5.41,10.00
KULU,TA4,-46.22,-15.59,11.00
KULU,TA4,-48.48,10.21,12.00
