stid,variable_pattern,lo,hi,month
SMS-PET,VW1,-12.00,24.00,
SMS-PET,RH1,37.80,109.60,
SMS-PET,TA1,-47.07,-5.96,1.00
SMS-PET,TA1,-49.48,-11.86,2.00
SMS-PET,TA1,-50.02,-6.17,3.00
SMS-PET,TA1,-43.94,0.27,4.00
SMS-PET,TA1,-31.81,10.99,5.00
SMS-PET,TA1,-13.73,17.07,6.00
SMS-PET,TA1,-9.81,16.53,7.00
SMS-PET,TA1,-16.12,15.85,8.00
SMS-PET,TA1,-28.66,10.79,9.00
SMS-PET,TA1,-40.14,10.35,10.00
SMS-PET,TA1,-46.34,-2.25,11.00
SMS-PET,TA1,-46.73,-0.39,12.00
SMS-PET,TA2,-47.32,-6.03,1.00
SMS-PET,TA2,-48.58,-11.57,2.00
SMS-PET,TA2,-48.60,-6.21,3.00
SMS-PET,TA2,-43.72,0.09,4.00
SMS-PET,TA2,-31.46,10.65,5.00
SMS-PET,TA2,-13.38,15.77,6.00
SMS-PET,TA2,-9.41,16.21,7.00
SMS-PET,TA2,-16.14,15.28,8.00
SMS-PET,TA2,-28.89,10.54,9.00
SMS-PET,TA2,-39.85,10.39,10.00
SMS-PET,TA2,-46.42,-2.47,11.00
SMS-PET,TA2,-46.93,-0.58,12.00
