stid,variable_pattern,lo,hi,month
Petermann ELA,P,857.10,932.10,
Petermann ELA,VW1,-11.61,26.46,
Petermann ELA,VW2,-11.55,27.03,
Petermann ELA,RH1,39.32,108.50,
Petermann ELA,RH2,38.31,108.10,
Petermann ELA,TA1,-43.62,-13.94,1.00
Petermann ELA,TA1,-48.58,5.46,2.00
Petermann ELA,TA1,-48.59,-3.51,3.00
Petermann ELA,TA1,-43.97,6.70,4.00
Petermann ELA,TA1,-36.95,9.68,5.00
Petermann ELA,TA1,-21.55,13.11,6.00
Petermann ELA,TA1,-16.96,13.84,7.00
Petermann ELA,TA1,-24.47,12.57,8.00
Petermann ELA,TA1,-34.17,7.52,9.00
Petermann ELA,TA1,-44.87,4.80,10.00
Petermann ELA,TA1,-46.30,1.99,11.00
Petermann ELA,TA1,-43.05,-4.73,12.00
Petermann ELA,TA2,-43.62,-13.94,1.00
Petermann ELA,TA2,-48.58,5.46,2.00
Petermann ELA,TA2,-48.59,-3.51,3.00
Petermann ELA,TA2,-43.80,6.65,4.00
Petermann ELA,TA2,-37.02,9.41,5.00
Petermann ELA,TA2,-21.55,13.08,6.00
Petermann ELA,TA2,-17.06,13.84,7.00
Petermann ELA,TA2,-24.39,12.59,8.00
Petermann ELA,TA2,-34.17,7.54,9.00
Petermann ELA,TA2,-44.83,4.80,10.00
Petermann ELA,TA2,-46.09,2.40,11.00
Petermann ELA,TA2,-43.05,-4.73,12.00
Petermann ELA,TA3,-47.99,-0.99,1.00
Petermann ELA,TA3,-48.45,-8.81,2.00
Petermann ELA,TA3,-48.40,0.93,3.00
Petermann ELA,TA3,-44.36,6.30,4.00
Petermann ELA,TA3,-35.94,11.14,5.00
Petermann ELA,TA3,-21.24,13.58,6.00
Petermann ELA,TA3,-16.57,13.77,7.00
Petermann ELA,TA3,-23.89,12.78,8.00
Petermann ELA,TA3,-34.15,7.28,9.00
Petermann ELA,TA3,-45.49,4.38,10.00
Petermann ELA,TA3,-46.53,0.35,11.00
Petermann ELA,TA3,-48.03,-4.80,12.00
Petermann ELA,TA4,-48.03,-0.84,1.00
Petermann ELA,TA4,-48.44,-8.61,2.00
Petermann ELA,TA4,-48.38,1.24,3.00
Petermann ELA,TA4,-44.08,6.10,4.00
Petermann ELA,TA4,-36.01,11.21,5.00
Petermann ELA,TA4,-21.13,13.43,6.00
Petermann ELA,TA4,-16.49,13.68,7.00
Petermann ELA,TA4,-23.69,12.98,8.00
Petermann ELA,TA4,-33.92,7.35,9.00
Petermann ELA,TA4,-45.28,4.54,10.00
Petermann ELA,TA4,-46.44,1.75,11.00
Petermann ELA,TA4,-48.11,-4.66,12.00
