stid,variable_pattern,lo,hi,month
SMS4,VW1,-11.54,28.95,
SMS4,RH1,35.62,113.80,
SMS4,TA1,-34.81,10.18,1.00
SMS4,TA1,-46.10,6.09,2.00
SMS4,TA1,-41.50,9.37,3.00
SMS4,TA1,-36.43,13.49,4.00
SMS4,TA1,-19.76,14.12,5.00
SMS4,TA1,-13.54,15.72,6.00
SMS4,TA1,-9.10,14.59,7.00
SMS4,TA1,-13.76,15.57,8.00
SMS4,TA1,-17.94,17.05,9.00
SMS4,TA1,-26.35,14.52,10.00
SMS4,TA1,-34.11,12.81,11.00
SMS4,TA1,-33.25,14.06,12.00
SMS4,TA2,-34.60,10.49,1.00
SMS4,TA2,-46.13,6.28,2.00
SMS4,TA2,-41.23,9.74,3.00
SMS4,TA2,-36.44,13.37,4.00
SMS4,TA2,-19.90,14.20,5.00
SMS4,TA2,-13.14,15.49,6.00
SMS4,TA2,-9.13,14.57,7.00
SMS4,TA2,-13.59,15.38,8.00
SMS4,TA2,-18.02,16.90,9.00
SMS4,TA2,-26.40,14.38,10.00
SMS4,TA2,-33.91,12.69,11.00
SMS4,TA2,-33.07,14.03,12.00
