  Jul.Day  S1(up)  S2(up)  S(dw)   Alb1 Alb2  net_rad
  167.833   193.8   191.7   159.6  82.  83.   15.8
  167.840   192.1   190.5   157.0  82.  82.   17.3
  167.847   137.9   137.1   114.6  83.  84.   11.2
  167.854   125.0   124.1   104.5  84.  84.   10.3
  167.861   125.9   125.2   105.0  83.  84.   10.6
  167.868   113.2   112.5    95.2  84.  85.    8.2
  167.875   108.0   107.2    90.8  84.  85.    7.9
  167.882   120.3   118.6    99.1  82.  84.   10.7
  167.889   113.1   111.7    93.0  82.  83.   10.3
  167.896    89.1    88.4    73.9  83.  84.    9.1
  167.903    82.0    81.1    68.0  83.  84.    8.6
  167.910    79.7    79.0    66.1  83.  84.    8.2
  167.917    73.5    72.7    61.1  83.  84.    7.2
  167.924    66.8    66.3    55.7  83.  84.    7.2
  167.931    66.7    66.2    55.1  83.  83.    7.4
  167.938    75.7    75.5    61.6  81.  82.    9.3
  167.944    71.2    71.1    57.9  81.  82.    7.3
  167.951    68.5    68.3    55.3  81.  81.    7.8
  167.958    57.8    57.9    47.2  82.  82.    5.5
  167.965    47.4    47.3    39.4  83.  83.    4.9
  167.972    47.5    47.4    39.5  83.  83.    7.3
  167.979    51.4    51.4    42.5  83.  83.    7.2
  167.986    44.7    44.8    37.1  83.  83.    6.6
  167.993    42.8    42.7    35.0  82.  82.    6.3
  168.001    45.2    45.2    36.6  81.  81.    6.7
  168.007    34.5    34.6    28.7  83.  83.    4.7
  168.014    29.6    29.6    24.5  83.  83.    4.1
  168.021    29.2    29.2    24.1  83.  83.    3.2
  168.028    31.4    31.3    25.6  82.  82.    3.4
  168.035    32.4    32.5    26.2  81.  80.    4.3
  168.042    28.1    28.2    22.9  81.  81.    3.3
  168.049    26.5    26.6    21.5  81.  81.    3.2
  168.056    21.3    21.4    17.6  83.  82.    2.4
  168.063    18.3    18.2    15.1  83.  83.    1.8
  168.069    17.5    17.2    14.4  82.  84.    2.0
  168.076    16.5    16.2    13.7  83.  84.    2.1
  168.083    14.5    14.2    12.2  84.  86.    1.8
  168.090    13.0    12.7    10.9  84.  86.    1.4
  168.097    11.7    11.3     9.6  82.  85.    1.5
  168.104    11.9    11.5     9.2  77.  80.    1.2
  168.111    10.8    10.5     8.2  76.  78.    1.1
  168.118     9.5     9.1     7.1  75.  78.     .1
  168.125     9.2     9.0     7.2  79.  80.     .0
  168.132     9.6     9.5     7.4  77.  78.     .1
  168.139     9.9     9.7     7.6  77.  78.     .5
  168.146    10.5    10.4     8.2  77.  79.     .7
  168.153     9.2     9.0     7.2  79.  80.     .7
  168.160     8.3     8.3     6.5  78.  78.     .9
  168.167     8.3     8.3     6.6  79.  80.     .7
  168.174     9.4     9.2     7.5  80.  82.     .9
  168.181    11.3    11.3     8.9  79.  79.    1.2
  168.188    14.7    14.6    11.1  76.  76.    1.9
  168.194    17.3    17.4    12.8  74.  74.    2.6
  168.201    16.3    16.5    11.8  72.  71.    2.1
  168.208    12.9    12.7     9.6  75.  76.    1.9
  168.215    14.3    14.1    10.7  75.  76.    2.5
  168.222    15.9    15.9    12.0  75.  75.    2.2
  168.229    15.3    15.1    11.5  75.  76.    2.2
  168.236    23.9    23.6    17.4  73.  74.    3.7
  168.243    35.0    34.7    25.5  73.  73.    6.3
  168.250    41.3    40.8    29.8  72.  73.    7.3
  168.257    66.0    65.2    46.5  70.  71.   12.5
  168.264    53.1    52.6    38.4  72.  73.    9.7
  168.271    37.7    37.6    27.8  74.  74.    7.2
  168.278    46.7    46.5    33.7  72.  72.    8.4
  168.285    39.7    39.6    28.7  72.  72.    7.6
  168.292    57.2    56.8    40.4  71.  71.    9.9
  168.299    50.9    50.4    35.4  70.  70.    8.3
  168.306    47.1    47.0    33.8  72.  72.    7.5
  168.313    48.3    48.6    35.3  73.  73.    6.8
  168.319    62.1    61.9    52.6  85.  85.    7.4
  168.326    42.4    41.9   -10.3 -24. -25.    4.6
  168.333    47.2    45.1    67.2 142. 149.    5.0
  168.340    69.6    65.1    61.4  88.  94.    7.5
  168.347    81.8    77.8    73.9  90.  95.    7.8
  168.354    85.2    82.3    79.1  93.  96.    8.2
  168.361   108.6   104.2    96.2  89.  92.   10.9
  168.368   101.1    96.8    84.8  84.  88.   10.6
  168.375   115.3   113.1    92.7  80.  82.   11.9
  168.382   125.9   124.0   105.2  84.  85.   13.5
  168.389   125.6   124.1   102.8  82.  83.   14.7
  168.396   111.5   110.3    92.4  83.  84.   14.4
  168.403   115.2   113.6    93.3  81.  82.   13.3
  168.410   162.9   157.8   134.0  82.  85.   19.3
  168.417   144.1   136.1   112.5  78.  83.   15.0
  168.424   143.9   134.5   110.1  76.  82.   14.3
  168.431   179.5   166.9   140.4  78.  84.   20.6
  168.438   204.4   196.5   156.0  76.  79.   20.1
  168.444   216.6   209.7   173.1  80.  83.   20.2
  168.451   255.3   248.2   207.4  81.  84.   24.9
  168.458   243.6   237.4   203.5  84.  86.   23.6
  168.465   234.6   238.4   195.4  83.  82.   21.8
  168.472   217.3   223.3   175.6  81.  79.   19.2
  168.479   248.0   262.3   199.2  80.  76.   23.8
  168.486   271.2   287.8   221.8  82.  77.   25.0
  168.493   230.1   243.9   189.4  82.  78.   18.9
  168.500   256.1   271.7   208.8  82.  77.   23.6
  168.507   317.2   334.6   257.4  81.  77.   30.9
  168.514   261.3   276.6   222.6  85.  80.   22.6
  168.521   260.6   276.4   217.8  84.  79.   22.2
  168.528   238.6   252.5   196.2  82.  78.   19.0
  168.535   288.3   306.0   239.3  83.  78.   27.2
  168.542   314.7   335.9   267.2  85.  80.   31.1
  168.549   300.5   325.4   261.0  87.  80.   24.4
  168.556   273.9   285.3   233.1  85.  82.   16.0
  168.563   267.8   267.1   221.1  83.  83.   12.4
  168.569   275.0   283.0   232.4  85.  82.   11.8
  168.576   282.7   290.8   240.2  85.  83.   10.5
  168.583   294.2   313.8   252.3  86.  80.    8.4
  168.590   320.1   341.8   281.2  88.  82.    8.1
  168.597   351.7   374.9   318.1  90.  85.    8.1
  168.604   347.5   373.5   314.2  90.  84.    8.9
  168.611   301.5   319.7   280.9  93.  88.    4.1
  168.618   278.8   286.1   253.5  91.  89.     .5
  168.625   299.9   314.0   265.5  89.  85.    -.9
  168.632   354.9   364.6   286.2  81.  79.   -2.0
  168.639   405.6   395.8   320.0  79.  81.   -1.6
  168.646   427.7   413.9   341.5  80.  82.    1.1
  168.653   451.5   435.1   361.9  80.  83.    2.6
  168.660   461.3   443.0   365.7  79.  83.    4.4
  168.667   448.9   428.0   360.4  80.  84.    1.7
  168.674   468.2   443.9   380.3  81.  86.     .9
  168.681   426.1   402.5   345.2  81.  86.   -1.8
  168.688   372.2   348.5   334.8  90.  96.   -3.0
  168.694   349.0   324.7   329.4  94. 101.   -2.2
  168.701   373.6   347.7   348.6  93. 100.   -1.6
  168.708   453.0   418.9   397.3  88.  95.    6.8
  168.715   409.8   401.6   368.6  90.  92.   -5.9
  168.722   377.6   372.6   339.8  90.  91.   -6.2
  168.729   403.9   399.0   365.0  90.  91.   -6.5
  168.736   409.3   404.4   372.0  91.  92.   -5.7
  168.743   388.9   384.6   354.0  91.  92.   -5.6
  168.750   370.1   365.6   337.2  91.  92.   -4.9
  168.757   363.7   358.8   330.6  91.  92.   -3.7
  168.764   352.1   347.0   319.8  91.  92.   -3.8
  168.771   344.4   338.8   312.3  91.  92.   -3.2
  168.778   350.5   344.5   317.2  91.  92.   -2.3
  168.785   337.0   330.7   305.6  91.  92.   -2.6
  168.792   347.6   340.9   313.9  90.  92.    -.1
  168.799   339.1   332.6   305.7  90.  92.     .6
  168.806   324.3   318.0   292.7  90.  92.    -.7
  168.813   330.2   323.7   297.4  90.  92.     .8
  168.819   327.1   320.6   295.0  90.  92.     .9
  168.826   329.8   322.9   297.6  90.  92.     .6
  168.833   310.2   303.8   280.9  91.  92.     .1
  168.840   277.6   271.8   252.7  91.  93.   -1.8
  168.847   275.5   269.6   251.1  91.  93.    -.9
  168.854   271.1   265.0   247.2  91.  93.   -1.0
  168.861   261.5   255.3   238.3  91.  93.   -1.6
  168.868   251.0   244.7   228.4  91.  93.   -1.0
  168.875   235.2   229.1   214.1  91.  93.   -1.1
  168.882   244.9   238.4   223.1  91.  94.   -1.4
  168.889   272.9   265.4   247.3  91.  93.    -.1
  168.896   324.5   316.1   292.8  90.  93.    1.7
  168.903   289.4   282.0   261.6  90.  93.    1.2
  168.910   222.4   216.8   202.0  91.  93.    -.1
  168.917   216.2   210.6   196.6  91.  93.     .6
  168.924   154.3   150.8   141.2  92.  94.   -1.1
  168.931   124.4   121.3   114.3  92.  94.   -1.1
  168.938   137.3   134.2   125.9  92.  94.    -.2
  168.944   145.5   141.8   132.6  91.  94.    1.6
  168.951   159.6   155.6   145.3  91.  93.    4.3
  168.958   130.5   127.5   119.4  92.  94.    2.4
  168.965   101.9    99.6    93.7  92.  94.    -.2
  168.972   110.4   107.3   100.6  91.  94.    1.1
  168.979    99.9    97.1    91.1  91.  94.     .6
  168.986    86.4    84.5    79.4  92.  94.    -.5
  168.993    72.6    70.7    66.6  92.  94.   -2.3
  169.001    66.6    64.8    60.9  92.  94.    -.1
  169.007    58.7    57.2    53.9  92.  94.    -.3
  169.014    53.7    52.3    49.4  92.  94.     .1
  169.021    48.5    47.2    44.5  92.  94.     .4
  169.028    41.6    40.6    38.3  92.  95.    -.4
  169.035    46.4    45.2    42.6  92.  94.    -.1
  169.042    48.0    46.7    43.7  91.  94.     .7
  169.049    36.8    36.0    33.9  92.  94.   -1.1
  169.056    32.9    32.2    30.2  92.  94.   -2.1
  169.063    30.9    30.3    28.5  92.  94.   -1.9
  169.069    32.3    31.6    29.8  92.  94.   -1.1
  169.076    33.2    32.4    30.4  91.  94.   -2.0
  169.083    29.8    29.2    27.4  92.  94.   -1.5
  169.090    22.6    22.2    20.9  92.  94.   -2.7
  169.097    21.7    21.4    20.1  93.  94.   -1.9
  169.104    31.0    30.4    28.4  92.  93.    -.8
  169.111    21.4    21.2    19.9  93.  94.   -1.5
  169.118    19.5    19.3    18.1  93.  94.   -1.8
  169.125    21.2    20.9    19.7  93.  94.   -2.1
  169.132    18.3    18.1    17.2  94.  95.   -1.8
  169.139    16.6    16.4    15.6  94.  95.   -1.8
  169.146    17.0    16.8    15.8  93.  94.   -2.4
  169.153    17.0    16.8    15.9  93.  94.   -1.0
  169.160    17.9    17.5    16.5  92.  95.   -2.2
  169.167    19.3    19.0    17.8  92.  94.   -1.7
